ID,COORDS_X,COORDS_Y,AGE,HOUSESIZE,LOTSIZE,BEDROOMS,DFLOOD100,RESID,AGEnorm,HOUSESIZEnorm,LOTSIZEnorm,BEDROOMSnorm,RESIDnorm,PRICE_KRIGING
18055,2493090.168489981,673796.1956016492,29.0,1424.0,0.23,3.0,0.0,0.10461125672844851,0.7883211678832117,0.11194927298567836,0.35692825966515407,0.25,0.6070600630305546,89014.67266237896
18060,2492577.0182317416,674128.0105202422,39.0,2031.0,0.34,3.0,0.0,0.02019731314556239,0.7153284671532847,0.1783098283590248,0.414050048379471,0.25,0.5236695682178771,111034.01133000109
18061,2468812.8697199426,665965.5574265018,14.0,2151.0,0.59,3.0,0.0,-0.2051494991654792,0.8978102189781022,0.191428883787034,0.4945998702191358,0.25,0.30105489834848914,129882.63660796244
18062,2491481.9277954097,677278.6986150246,41.0,2662.0,0.83,3.0,1.0,-0.05315711460882433,0.7007299270072993,0.2472941948179731,0.5444784266001976,0.25,0.45120450181409316,134612.67248420906
18064,2482419.5888447124,672716.8918141795,38.0,1597.0,0.32,3.0,0.0,0.015039616451270277,0.7226277372262774,0.1308625778943916,0.4051902752004612,0.25,0.5185744043009299,84563.38302484127
18065,2486828.585815644,682327.9497688517,53.0,1329.0,0.2,3.0,0.0,0.314187253250676,0.6131386861313868,0.10156335410517109,0.3365032397408885,0.25,0.8140951251194168,75966.16639611949
18067,2478146.4003227814,673520.0689664425,38.0,1685.0,0.34,3.0,0.0,-0.018559946752432666,0.7226277372262774,0.14048321854159834,0.414050048379471,0.25,0.48538220782102676,87176.90009179004
18069,2476628.1890261765,666366.1650456517,37.0,1530.0,0.41,3.0,0.0,0.11596771973330178,0.7299270072992701,0.12353777194708648,0.4414094239878807,0.25,0.6182788383785717,90951.886321815
18070,2492700.4512128695,676981.7498789273,39.0,1479.0,0.23,3.0,0.0,0.14140799528403392,0.7153284671532847,0.11796217339018257,0.35692825966515407,0.25,0.6434106717736474,85726.78532302396
18072,2488078.040123544,674321.6979097218,41.0,1503.0,0.15,3.0,1.0,0.10349968301214219,0.7007299270072993,0.1205859844757844,0.294460950103062,0.25,0.6059619662198952,76412.2782463179
18074,2487825.004178954,673181.1773968635,44.0,3850.0,0.62,4.0,0.0,-0.0793480914247553,0.6788321167883211,0.37717284355526404,0.5018480416006919,0.375,0.42533106878151244,211723.1617908537
18079,2491219.792186254,675446.0270214293,44.0,1276.0,0.32,3.0,1.0,0.10429291965666287,0.6788321167883211,0.09576910462446704,0.4051902752004612,0.25,0.6067455855306692,62921.65476135499
18080,2487929.048833733,675081.7310210752,46.0,3418.0,0.23,3.0,0.0,0.11454257670260759,0.6642335766423357,0.32994424401443095,0.35692825966515407,0.25,0.6168709740203364,201494.2686594007
18082,2489004.0829847082,681641.7024893446,44.0,1824.0,0.18,3.0,0.0,0.17578911203266934,0.6788321167883211,0.155679457745709,0.3211056959248082,0.25,0.6773749461125896,105478.44667774659
18084,2477002.31205109,666620.4968036636,36.0,1534.0,0.38,3.0,0.0,0.10681098420480417,0.7372262773722628,0.12397507379468678,0.4303047295509543,0.25,0.6092331206430831,91203.61860458573
18086,2491179.46499139,676614.7276680064,33.0,1671.0,0.44,3.0,0.0,0.06506934525225105,0.7591240875912408,0.13895266207499726,0.45172958119832113,0.25,0.5679975643024688,100563.85996173263
18088,2490959.855899715,675036.6790339345,43.0,1512.0,0.4,3.0,1.0,0.061614439430352164,0.6861313868613139,0.1215699136328851,0.4378008085410038,0.25,0.5645845463365867,74799.52221154387
18089,2490784.8128292393,674392.641636558,30.0,2004.0,0.24,3.0,0.0,-0.026215157372446285,0.781021897810219,0.17535804088772275,0.36314798556263467,0.25,0.47781981025490217,114551.14154571986
18090,2493096.423601828,678176.4994877332,49.0,1310.0,0.15,3.0,0.0,0.16804605672208872,0.6423357664233577,0.09948617032906965,0.294460950103062,0.25,0.6697257688996185,66943.93473231095
18091,2492366.8650264605,680533.3614041288,41.0,1208.0,0.2,3.0,0.0,0.17834997094299077,0.7007299270072993,0.08833497321526183,0.3365032397408885,0.25,0.6799047567411795,68459.49859265915
18092,2483134.941085568,671977.940034222,17.0,1743.0,0.33,3.0,0.0,-0.0011017154541761442,0.8759124087591241,0.14682409533180277,0.40968729156049466,0.25,0.5026287726031387,118050.33853280684
18095,2489631.3664224413,674404.0593662787,47.0,2288.0,0.4,4.0,0.0,-0.009425427217237825,0.656934306569343,0.20640647206734447,0.4378008085410038,0.375,0.4944059789136309,118416.03115283197
18096,2486059.467990973,673709.3770425644,44.0,5406.0,0.63,5.0,0.0,-0.09678264399274639,0.6788321167883211,0.5472832622717831,0.5041863554881654,0.5,0.40810789564477995,321896.3609976116
